ID,Adress,Status,HIGH,LOW
1,Гвардейский 6,3001,47.2351423,39.65590557
1,Гвардейский 6,3001,47.2351215,39.64790337
1,Гвардейский 6,3001,47.2151255,39.65950337
1,Гвардейский 6,3001,47.2351275,39.66690337
1,Гвардейский 6,3001,47.2451245,39.63590347
1,Гвардейский 6,3001,47.2551255,39.62590557
1,Гвардейский 6,3001,47.2653225,39.61190357
1,Гвардейский 6,3001,47.2755225,39.61290357
1,Гвардейский 6,3001,47.2857225,39.60790397
1,Гвардейский 6,3001,47.2956225,39.61790447
1,Гвардейский 6,3001,47.2059225,39.62790667
1,Гвардейский 6,3001,47.2251925,39.63790447
1,Гвардейский 6,3001,47.2151025,39.64790357
1,Гвардейский 6,3001,47.2331725,39.65790357
1,Гвардейский 6,3001,47.2341525,39.66790377
1,Гвардейский 6,3001,47.2351425,39.67790547
1,Гвардейский 6,3001,47.2361325,39.68790337
1,Гвардейский 6,3001,47.2371625,39.69790657
